optimizer,lr,weight_decay,batch_size,epochs,final_train_loss,final_val_loss
muon,0.001,0.0001,32,5,8.679826122781504,8.693051631634052
muon,0.001,0.0001,64,5,10.588804362113017,10.568915367126465
muon,0.001,0.001,16,5,8.350738322216532,8.376123868502104
muon,0.001,0.001,32,5,8.677732094474461,8.690846956693209
muon,0.001,0.001,64,5,10.498516434117368,10.489918981279645
muon,0.001,0.01,16,5,8.349977970123291,8.372435092926025
muon,0.001,0.01,32,5,8.653387260437011,8.671720651479868
muon,0.001,0.01,64,5,10.511142964948688,10.494663647242955
muon,0.001,0.1,16,5,8.344142880647079,8.362058676206148
muon,0.001,0.1,32,5,8.64017502328624,8.650938841012808
muon,0.001,0.1,64,5,10.024724173964115,10.029210090637207
muon,0.003,0.0,16,5,8.302087493564771,8.332606022174541
muon,0.003,0.0,32,5,8.311540437781293,8.331337782052847
muon,0.003,0.0,64,5,8.35076678426642,8.3673734664917
muon,0.003,0.0001,16,5,8.50473167170649,8.477643123039833
muon,0.003,0.0001,32,5,8.310742544091266,8.331963025606596
muon,0.003,0.0001,64,5,8.36061496065374,8.381562096732003
muon,0.003,0.001,16,5,8.323643074864927,8.336426001328688
muon,0.003,0.001,32,5,8.310905506299889,8.329233536353478
muon,0.003,0.001,64,5,8.355284757781448,8.371002197265625
muon,0.003,0.01,16,5,8.304831032131029,8.330490992619442
muon,0.003,0.01,32,5,8.311226239411727,8.330828666687012
muon,0.003,0.01,64,5,8.35127301801715,8.373517308916364
muon,0.003,0.1,16,5,8.32186216271442,8.334678429823656
muon,0.003,0.1,32,5,8.31145199485447,8.330082086416391
muon,0.003,0.1,64,5,8.348030475147983,8.364385059901647
